Brand,Model,RAM,Storage,Battery,Camera,ScreenSize,FiveG,PhoneAge,Condition,Price
Samsung,Samsung-201,6,64,3710,48,5.8,Yes,3.0,New,22917.48
Nothing,Nothing-728,4,128,6015,12,6.0,Yes,4.3,New,12185.13
Nothing,Nothing-913,2,256,4156,12,6.2,Yes,2.4,New,20129.19
Apple,Apple-814,6,128,5474,48,5.4,Yes,3.2,Used,52295.8
Xiaomi,Xiaomi-768,16,256,3788,50,5.4,Yes,3.1,New,18124.33
Xiaomi,Xiaomi-207,3,256,5717,12,5.9,No,4.1,New,6691.11
Nothing,Nothing-985,16,512,5206,64,5.6,No,0.9,Used,32370.34
Oppo,Oppo-319,12,32,4195,108,6.2,Yes,0.0,Used,24775.53
Motorola,Motorola-392,3,32,4806,108,5.9,No,4.5,New,5803.4
OnePlus,OnePlus-786,3,128,6131,64,6.5,Yes,3.1,New,20242.02
Samsung,Samsung-259,4,256,4249,8,5.5,Yes,0.1,Used,29821.58
Nothing,Nothing-473,2,512,5556,200,6.1,No,0.7,Used,24988.92
Oppo,Oppo-720,2,32,5506,64,5.8,No,3.0,New,8490.11
OnePlus,OnePlus-741,8,32,4922,200,5.7,Yes,1.8,New,28142.14
Realme,Realme-441,6,128,3159,48,5.6,Yes,3.4,New,8980.69
Vivo,Vivo-647,3,256,5817,50,6.2,No,2.3,New,13982.91
Realme,Realme-499,8,512,5334,200,5.4,Yes,2.1,Used,13481.76
Google,Google-732,6,128,4679,64,5.9,Yes,5.0,Used,21679.0
Realme,Realme-903,6,64,3455,64,6.9,No,2.5,New,10709.51
Samsung,Samsung-801,16,64,5796,12,5.8,Yes,1.2,New,46582.23
Oppo,Oppo-338,3,256,3310,50,7.0,Yes,5.0,Used,5251.45
Samsung,Samsung-625,3,64,4452,16,6.5,Yes,3.6,New,18297.79
Motorola,Motorola-352,16,512,5625,12,5.5,No,2.9,Used,15381.28
Vivo,Vivo-124,2,256,3094,8,6.3,No,0.9,New,16970.87
Realme,Realme-752,3,512,6041,32,5.3,No,2.7,Used,8325.19
OnePlus,OnePlus-616,3,512,4851,50,5.0,Yes,3.0,New,21336.4
Xiaomi,Xiaomi-198,3,64,5392,12,6.1,No,3.1,New,7422.04
Realme,Realme-200,2,256,3189,16,5.4,No,3.1,Used,4995.72
Oppo,Oppo-867,6,256,6292,32,6.4,No,3.6,Used,7930.88
Xiaomi,Xiaomi-830,16,128,5139,50,6.8,No,3.8,New,13973.95
Realme,Realme-312,12,512,5697,64,5.3,Yes,1.1,New,28122.31
Realme,Realme-728,3,512,3172,32,5.8,Yes,3.2,New,10919.25
Nothing,Nothing-653,12,256,3545,32,5.5,No,4.1,Used,12087.96
Realme,Realme-196,3,512,5672,200,5.2,No,4.7,Used,4705.55
Nothing,Nothing-954,3,64,5279,48,6.8,Yes,1.9,New,21597.58
Google,Google-534,8,128,5628,8,6.0,Yes,0.2,Used,55123.73
Google,Google-490,4,32,4668,32,6.6,Yes,1.5,New,56293.99
Xiaomi,Xiaomi-467,6,128,5489,48,6.2,No,0.3,New,21499.21
Samsung,Samsung-316,16,32,5376,12,6.5,Yes,1.3,New,40962.09
Nothing,Nothing-387,16,64,4801,48,5.3,Yes,0.6,New,44749.62
Apple,Apple-725,4,64,3782,8,7.0,Yes,1.9,New,87452.02
Vivo,Vivo-596,6,256,4748,16,7.0,No,1.4,Used,15701.85
Motorola,Motorola-355,16,64,5196,48,7.2,No,2.8,New,18556.72
Vivo,Vivo-661,12,128,4368,50,6.2,No,0.5,Used,19655.52
Xiaomi,Xiaomi-512,16,256,3460,50,6.2,Yes,2.5,New,22156.39
Oppo,Oppo-548,6,32,6199,48,5.4,Yes,0.0,New,25356.32
OnePlus,OnePlus-599,4,64,5520,48,6.6,No,0.9,New,30727.39
OnePlus,OnePlus-854,12,64,5649,50,6.8,Yes,3.7,Used,16100.61
Oppo,Oppo-841,12,128,4124,32,5.8,No,3.9,New,10226.54
Realme,Realme-320,12,512,5249,50,5.4,Yes,1.9,New,24569.55
Xiaomi,Xiaomi-159,8,64,4078,32,6.2,No,3.4,Used,6828.83
Xiaomi,Xiaomi-531,2,128,3405,108,5.7,No,3.5,Used,5230.91
OnePlus,OnePlus-217,12,32,4206,8,5.2,Yes,3.0,Used,16255.57
Samsung,Samsung-599,2,256,3659,50,7.2,No,3.7,Used,14351.77
Nothing,Nothing-525,3,128,3972,8,6.3,Yes,3.5,Used,10667.84
Xiaomi,Xiaomi-737,12,64,3580,48,6.1,Yes,4.7,Used,6569.43
Oppo,Oppo-668,16,64,5978,8,6.7,Yes,0.3,New,35468.01
OnePlus,OnePlus-731,2,256,5772,108,5.1,Yes,1.3,New,30531.12
Nothing,Nothing-540,12,64,3204,50,5.1,Yes,0.2,New,41873.87
Realme,Realme-298,6,64,5010,64,5.2,Yes,3.7,New,7238.66
Realme,Realme-829,3,64,5539,108,5.6,No,4.9,New,4429.3
Realme,Realme-994,2,128,3370,200,7.1,No,0.9,New,18257.72
Nothing,Nothing-628,2,32,3592,108,5.3,No,3.6,New,11331.76
Apple,Apple-534,12,64,5889,48,5.3,No,1.1,New,110543.74
Oppo,Oppo-131,12,256,3343,108,5.2,Yes,4.9,Used,6920.98
Oppo,Oppo-703,8,256,4177,32,6.7,Yes,1.0,Used,20828.44
Motorola,Motorola-326,3,256,6097,8,5.1,Yes,2.3,Used,9321.45
Vivo,Vivo-107,16,256,4814,200,5.9,Yes,2.2,New,24134.5
Google,Google-309,6,256,4320,32,5.6,Yes,3.2,New,45211.52
Nothing,Nothing-319,6,256,6339,12,5.7,No,4.5,New,13153.73
Samsung,Samsung-913,16,512,5975,48,6.0,No,0.4,Used,46146.84
Oppo,Oppo-346,2,512,4910,48,6.5,No,0.8,Used,17498.23
Realme,Realme-576,2,128,5400,32,6.6,No,0.4,Used,12312.19
Motorola,Motorola-827,6,64,3645,16,6.7,No,4.5,Used,5257.65
Apple,Apple-406,12,128,3587,48,5.2,Yes,3.6,New,81470.79
Apple,Apple-388,3,128,6000,64,6.4,Yes,4.2,New,70867.31
OnePlus,OnePlus-858,8,64,4089,16,6.5,Yes,0.9,Used,23739.37
Oppo,Oppo-753,16,128,5563,200,5.5,Yes,0.3,Used,27863.18
OnePlus,OnePlus-506,6,32,3550,200,6.7,No,1.3,Used,21162.17
Apple,Apple-523,12,256,3500,108,5.3,Yes,4.0,New,69791.79
Google,Google-383,12,64,5661,64,5.3,No,4.9,Used,23102.52
OnePlus,OnePlus-775,8,32,5810,64,6.2,No,2.2,New,22715.81
Google,Google-321,2,32,5367,8,6.0,Yes,3.0,New,36420.35
Motorola,Motorola-115,6,128,3067,108,6.9,Yes,1.7,Used,14619.08
Samsung,Samsung-300,12,256,4058,12,6.3,No,1.3,New,40299.46
Motorola,Motorola-687,6,128,3976,12,6.9,Yes,2.6,New,14381.35
Motorola,Motorola-554,4,64,3819,50,6.3,No,3.0,Used,6784.66
OnePlus,OnePlus-361,12,256,3578,50,5.6,Yes,2.4,Used,20215.38
Vivo,Vivo-852,2,64,4936,50,5.1,Yes,1.4,Used,9391.89
Xiaomi,Xiaomi-654,12,128,4455,32,5.5,Yes,0.0,New,30965.91
OnePlus,OnePlus-876,6,32,3601,64,6.8,Yes,2.6,New,24064.45
Google,Google-878,8,32,3552,8,5.3,Yes,2.5,Used,31935.1
Xiaomi,Xiaomi-544,4,512,5174,8,5.9,No,4.4,Used,5674.14
Samsung,Samsung-786,8,64,5150,48,5.0,No,0.3,New,35110.55
OnePlus,OnePlus-836,3,64,4347,8,6.0,Yes,0.6,New,30307.0
Nothing,Nothing-812,4,32,4793,200,6.4,No,3.0,New,14961.25
Motorola,Motorola-357,16,256,3770,32,6.4,No,2.6,Used,16803.04
Samsung,Samsung-378,2,256,5466,8,5.2,Yes,4.6,Used,10762.99
Google,Google-129,2,256,5324,50,6.9,Yes,0.4,New,76232.94
Apple,Apple-711,4,128,4179,200,5.9,Yes,2.9,New,80292.66
Samsung,Samsung-301,16,64,5487,48,6.4,Yes,3.8,Used,19717.32
Apple,Apple-585,6,128,4450,8,5.2,No,2.7,Used,55063.07
Samsung,Samsung-254,16,256,4648,12,6.1,Yes,2.5,Used,26600.48
Vivo,Vivo-224,4,128,4257,16,5.1,No,2.3,New,10656.9
Realme,Realme-737,3,256,6106,64,6.0,No,2.7,New,10928.09
OnePlus,OnePlus-478,2,512,6055,50,6.2,Yes,2.8,New,25572.8
Oppo,Oppo-399,4,128,4577,12,5.6,Yes,0.3,New,20551.22
Oppo,Oppo-198,6,128,6456,108,7.2,Yes,4.1,New,11520.33
Apple,Apple-758,12,32,5809,16,5.4,Yes,0.2,New,120303.76
Realme,Realme-657,3,128,4845,50,5.3,No,0.6,Used,10129.03
Nothing,Nothing-327,6,32,3882,16,6.1,Yes,3.8,New,13049.66
Vivo,Vivo-830,4,32,4239,64,5.9,Yes,2.5,Used,8760.66
Apple,Apple-436,6,128,4710,32,6.8,Yes,5.0,New,56333.1
Samsung,Samsung-448,2,128,4346,48,6.1,No,4.6,New,14798.63
Vivo,Vivo-402,4,128,5953,48,5.8,No,1.4,New,16843.21
Xiaomi,Xiaomi-648,4,64,5311,8,5.2,Yes,0.2,New,17973.44
Google,Google-483,8,256,6199,200,6.7,No,3.1,New,47173.25
OnePlus,OnePlus-222,12,128,6426,108,5.2,No,4.7,New,16893.03
Vivo,Vivo-210,3,32,5422,12,6.7,No,0.3,New,17851.07
Apple,Apple-420,16,128,5951,64,7.0,Yes,4.5,New,76527.49
Samsung,Samsung-643,2,512,5828,48,5.5,Yes,3.8,New,23346.65
Nothing,Nothing-507,3,256,4479,50,5.2,No,1.2,Used,18464.43
Vivo,Vivo-738,12,256,4228,64,6.6,Yes,0.8,Used,24882.19
Motorola,Motorola-917,6,32,4464,8,6.1,Yes,1.4,Used,10719.83
Google,Google-773,2,512,5987,200,5.2,No,4.1,New,35960.36
OnePlus,OnePlus-797,6,64,5958,16,6.0,No,1.9,Used,15663.02
Oppo,Oppo-635,3,512,3928,200,6.5,Yes,0.8,Used,21143.89
Samsung,Samsung-403,6,32,4629,200,5.2,No,3.2,New,19533.64
Oppo,Oppo-840,6,32,4378,12,6.4,No,0.0,Used,15021.65
OnePlus,OnePlus-848,16,64,3648,200,6.9,No,3.2,Used,19660.28
Apple,Apple-455,2,256,5321,16,5.7,No,2.0,Used,57887.09
Realme,Realme-624,6,128,5274,200,6.8,No,2.7,New,12980.91
Realme,Realme-281,12,64,5005,8,5.3,Yes,2.5,New,13579.73
OnePlus,OnePlus-564,8,128,5456,32,5.1,Yes,3.8,New,16998.41
Google,Google-835,6,64,4995,50,5.0,No,4.0,New,30859.02
Realme,Realme-746,2,32,5102,64,5.8,Yes,0.0,New,18892.85
OnePlus,OnePlus-294,16,128,3456,108,6.7,No,2.3,New,31278.39
Motorola,Motorola-533,8,64,4249,64,6.5,Yes,5.0,New,8800.96
Vivo,Vivo-792,2,32,4594,64,5.3,No,3.9,Used,4000.0
Google,Google-588,6,256,4994,8,5.8,No,1.5,New,58796.11
Apple,Apple-114,3,32,5052,32,6.4,Yes,0.7,Used,73726.39
Nothing,Nothing-102,8,512,6461,50,7.0,No,2.7,New,25876.29
Vivo,Vivo-780,8,256,3492,8,5.3,No,2.6,New,13455.11
OnePlus,OnePlus-118,4,256,5607,108,6.6,No,2.8,New,22117.33
Oppo,Oppo-344,16,64,5201,50,5.4,No,4.5,Used,8030.46
Apple,Apple-695,3,512,5409,108,6.7,Yes,1.2,New,115467.41
Google,Google-827,3,512,3085,200,6.8,No,1.9,Used,42910.72
Nothing,Nothing-364,6,64,5503,50,5.9,Yes,2.4,Used,13916.38
Vivo,Vivo-705,16,128,5593,16,6.1,Yes,2.4,Used,14450.46
Xiaomi,Xiaomi-213,4,32,6430,8,6.7,Yes,2.8,New,10672.75
Samsung,Samsung-500,3,64,4900,32,5.2,Yes,1.1,New,26806.71
Vivo,Vivo-502,3,512,4960,32,6.3,Yes,2.9,New,15682.33
Oppo,Oppo-320,16,64,3551,48,5.9,No,2.4,New,17921.89
Google,Google-996,2,128,3111,64,5.1,No,1.8,New,48695.02
Xiaomi,Xiaomi-570,16,128,3039,32,6.5,No,3.3,New,16164.65
Realme,Realme-749,6,512,3580,48,6.7,Yes,2.1,New,18050.43
Google,Google-610,16,512,6388,32,5.5,Yes,3.6,Used,34601.97
OnePlus,OnePlus-284,16,32,4988,64,6.3,No,4.1,New,19258.31
Vivo,Vivo-261,6,512,3309,48,5.3,Yes,2.1,Used,12598.98
Motorola,Motorola-201,2,128,3009,50,5.6,No,1.5,Used,9309.55
Samsung,Samsung-297,2,32,5610,32,7.1,Yes,0.8,New,32318.11
Samsung,Samsung-407,16,64,3166,200,5.6,No,1.0,New,43428.05
Realme,Realme-551,4,32,3560,64,6.2,Yes,2.4,New,10284.02
Apple,Apple-827,2,128,3042,32,5.3,No,3.1,Used,46133.0
Xiaomi,Xiaomi-339,12,32,3992,8,6.2,Yes,1.5,New,18496.98
Xiaomi,Xiaomi-939,4,256,3890,200,5.3,Yes,1.5,Used,13093.26
Oppo,Oppo-664,12,128,6062,16,6.4,Yes,0.8,New,27150.53
Realme,Realme-417,4,256,4424,50,5.7,No,2.0,New,13248.62
Apple,Apple-490,2,128,3725,48,5.2,Yes,1.9,Used,63675.64
Oppo,Oppo-491,12,128,3127,50,6.3,No,1.6,Used,16422.35
Nothing,Nothing-567,12,512,3201,8,5.2,Yes,4.9,Used,9992.25
Motorola,Motorola-685,2,128,4712,64,5.6,Yes,2.4,New,11794.36
Vivo,Vivo-207,12,64,4962,64,5.2,Yes,4.8,New,8084.69
Xiaomi,Xiaomi-580,6,128,5414,12,5.6,Yes,4.8,New,6770.75
Vivo,Vivo-761,2,128,3099,12,6.9,No,0.5,New,19915.86
Xiaomi,Xiaomi-106,8,128,4271,50,6.4,Yes,0.3,Used,20214.72
Samsung,Samsung-265,2,256,3082,8,5.5,No,3.1,Used,13146.46
Samsung,Samsung-743,3,64,4818,50,5.7,No,0.4,Used,24552.2
Motorola,Motorola-138,4,64,5962,108,5.5,Yes,3.4,Used,6869.71
Samsung,Samsung-929,8,256,4070,8,5.5,Yes,1.2,New,37179.68
Nothing,Nothing-418,2,128,4551,12,5.8,Yes,4.4,New,10797.93
Google,Google-172,12,128,4993,50,6.6,No,2.6,New,50116.13
Vivo,Vivo-869,4,32,3294,8,6.9,No,4.3,New,6422.39
Nothing,Nothing-965,4,128,4211,50,5.9,Yes,3.2,Used,10894.79
Vivo,Vivo-228,4,64,6256,32,6.3,Yes,2.3,New,12896.75
Oppo,Oppo-341,4,64,3120,8,7.0,Yes,2.6,Used,9214.86
Oppo,Oppo-845,4,512,5350,32,6.0,No,0.0,Used,22025.36
Oppo,Oppo-721,2,512,3060,32,6.9,No,1.1,Used,16940.47
Nothing,Nothing-138,2,64,3313,64,5.5,Yes,4.5,New,10621.21
Vivo,Vivo-384,2,512,6497,64,6.8,No,3.7,New,12039.58
Realme,Realme-745,16,512,5719,32,5.5,Yes,0.8,New,37867.65
